Latitude,Longitude,Slide_Name,State,Material Involved,Movement Type,Initiation_Year,History_date
9.742408,76.871481,Idadu Muttam,Kerala,Debris,Slide,0,
9.74295,76.820492,Chonamala debris slide,Kerala,Debris,Slide,0,
9.743239,76.819217,Chonamala slide 2,Kerala,Debris,Slide,0,
9.743929,76.871225,Idadu Muttam,Kerala,Debris,Slide,0,
9.746111,76.867778,Idadu Muttam,Kerala,Debris,Flow,0,
9.747819,76.865615,Idadu,Kerala,Debris,Flow,0,
9.749142,76.865103,Idadu,Kerala,Debris,Slide,0,
9.7505,76.8663,Edadu,Kerala,Debris,Slide,2010,
9.750875,77.129443,Parakkadavu II,Kerala,Soil,Slide,0,
9.751969,76.888502,Meemuttom,Kerala,Soil,Slide,0,
9.753603,77.135474,Parakkadavu,Kerala,Soil,Slide,0,
9.753889,76.862778,Idadu,Kerala,Debris,Slide,0,
9.754167,76.863333,Idadu,Kerala,Debris,Slide,0,
9.756908,77.125782,Kattappana,Kerala,Debris,Slide,0,
9.758115,76.887115,Asramam III,Kerala,Debris,Slide,0,
9.761131,77.112451,Kallukunnu,Kerala,Debris,Slide,0,
9.761878,77.11159,Kallukunnu II,Kerala,Debris,Slide,0,
9.762402,76.886875,Asramam II,Kerala,Debris,Slide,0,
9.763066,77.082958,Kalyanathandu,Kerala,Debris,Flow,0,
9.763586,76.882632,Pathipally,Kerala,Debris,Slide,0,
9.763762,76.836386,Kumbakanam,Kerala,Debris,Slide,0,
9.764817,77.109877,Kattappana,Kerala,Debris,Slide,0,
9.766509,76.881357,Asramam IV,Kerala,Debris,Flow,0,
9.767222,76.855,Chelickal Kavala,Kerala,Debris,Slide,0,
9.767408,76.880724,Asramam,Kerala,Debris,Flow,0,
9.768135,77.108294,KSRTC Kattappana Sub Depo,Kerala,Debris,Slide,0,
9.768333,76.854722,Chelickal Kavala,Kerala,Debris,Slide,0,
9.768435,77.128288,Kochuthovala,Kerala,Debris,Slide,0,
9.769483,77.089057,Kanakalippadi,Kerala,Soil,Slide,0,
9.769485,76.861242,Valiyakandam II,Kerala,Debris,Flow,0,
9.770459,76.835165,Kanjar,Kerala,Debris,Slide,0,
9.770979,77.133498,Kochuthovala,Kerala,Soil,Slide,0,
9.7726,76.8275,Kannikkal,Kerala,Debris,Slide,2010,
9.774871,77.099124,Konginippadavu,Kerala,Debris,Slide,0,
9.775862,77.083611,Mulakarameedu,Kerala,Debris,Subsidence,0,
9.777421,76.856547,Valiyakandam,Kerala,Debris,Slide,0,
9.7792,76.8503,Manapadi-2,Kerala,Rock,Slide and flow,2010,
9.7796,76.8499,Manapadi-1,Kerala,Debris,Slide,2010,
9.7831,76.7858,Valakam,Kerala,Debris,Flow,2010,
9.786024,77.124144,Mothirapalliyil,Kerala,Debris,Slide,0,
9.788433,77.211174,Nalumukku,Kerala,Debris,Flow,0,
9.789482,77.09414,Nathukallu,Kerala,Debris,Flow,0,
9.789688,77.091498,Kurishumala,Kerala,Debris,Slide,0,
9.789943,77.085321,Krishnamkudi,Kerala,Debris,Slide,0,
9.790765,77.066116,Vazhavara,Kerala,Debris,Subsidence,0,
